centrality,generation_formed,smiles_str
0.0,2,C(CC(C=CC=O)(C(CO)O)O)=O
0.0,2,C(CC(C(C(C(C=C)=O)O)O)O)=O
0.0,2,C(C(C(C(C=C)(CC=O)O)O)O)=O
0.0,2,C(C(C=CC(C(CO)O)=O)O)=O
0.0,2,C(C(C=CC(C(C(C)O)O)=O)O)=O
0.0,2,C(CC(C(C=CC(CO)=O)O)O)=O
0.0,2,C(C(C=CC(CO)(CC=O)O)O)=O
0.0,2,C(CC(C(C(C=CC=O)O)O)O)=O
0.0,2,C(C(C(C=CC(CC=O)O)O)O)=O
0.0,2,C(C(C)(CC(C=O)=O)O)=O
0.0,2,C(C(CC(C=O)=O)O)=O
0.0,2,C(C(CC(C)(C(CO)O)O)=O)=O
0.0,2,C(CC(C(C)=O)O)(C(CO)O)=O
0.0,2,C(C(C)(CC(C(CO)O)=O)O)=O
0.0,2,C(C(CC(CO)(CCO)O)=O)=O
0.0,2,C(C(C)(C(C(CCO)=O)O)O)=O
0.0,2,C(CO)(C(CO)C(C(C)=O)O)=O
0.0,2,C(C(C)(C(C(CO)=O)CO)O)=O
0.0,2,C(C(C(CC(C=O)=O)O)O)=O
0.0,2,C(C(CC(C)(CO)O)=O)=O
0.0,2,C(C)(C(CC(CO)=O)O)=O
0.0,2,C(C(C)(CC(CO)=O)O)=O
0.0,2,C(C)(C(C(C(C)=O)O)O)=O
0.0,2,C(C(C)(C(C(C)=O)O)O)=O
0.0,2,C(C(C(C(CC(C=O)=O)O)O)O)=O
0.0,2,C(C(CC(C)O)=O)=O
0.0,2,C(CC(C(C)=O)O)=O
0.0,2,C(C(C)(CC=O)O)=O
0.0,2,C(C(CC(CO)(CO)O)=O)=O
0.0,2,C(C(C)(C(C(CO)=O)O)O)=O
0.0,2,C(C(CC(CO)(C(CO)O)O)=O)=O
0.0,2,C(C(C)(C(C(C(CO)O)=O)O)O)=O
0.0,2,C(CC(C(CO)O)O)=O
0.0,2,C(C(C(C(CO)=O)C(C=O)O)O)=O
0.0,2,C(C(C(C(CC(C=O)O)=O)O)O)=O
0.0,2,C(CO)(C(CO)C(C=O)O)=O
0.0,2,C(C(C(C(CO)=O)O)O)=O
0.0,2,C(C(C(C=O)O)O)(C(CO)O)=O
